yaml_file,source_file,recipe_name,category,tags
wc-kitchen.15-minute-miso-soup-with-greens-and-tofu.yaml,PXL_20260523_110922779.RAW-01.COVER.jpg,15-Minute Miso Soup with Greens and Tofu,Appetizer; Entrée; Side,Gluten-Free; Japanese-Inspired; Vegan
wc-kitchen.30-minute-dairy-free-potato-soup.yaml,PXL_20260523_110437165.RAW-01.COVER.jpg,30 Minute Dairy Free Potato Soup,soup,dairy-free; gluten-free; Whole30; potato soup
wc-kitchen.actually-delicious-turkey-burgers.yaml,PXL_20260523_111024790.RAW-01.COVER.jpg,Actually Delicious Turkey Burgers,main dish,turkey; burgers; ground turkey
wc-kitchen.all-purpose-thai-basil-sauce.yaml,PXL_20260523_105852946.RAW-01.COVER.jpg,All-Purpose Thai Basil Sauce,Sauces,Thai; basil; stir fry; pantry staples
wc-kitchen.bacon-onion-tart.yaml,PXL_20260523_105822013.RAW-01.COVER.jpg,Bacon Onion Tart,,
wc-kitchen.bacon-shrimp-sweet-potatoes.yaml,PXL_20260523_105820663.RAW-01.COVER.jpg,Bacon-Shrimp Sweet Potatoes,,
wc-kitchen.baked-acorn-squash-with-butter-and-brown-sugar.yaml,PXL_20260523_110034702.RAW-01.COVER.jpg,Baked Acorn Squash with Butter and Brown Sugar,,squash; fall; side dish; vegetarian
wc-kitchen.baked-oatmeal-with-cranberries-and-almonds.yaml,PXL_20260523_110216005.RAW-01.COVER.jpg,Baked Oatmeal With Cranberries and Almonds,breakfast,baked oatmeal; cranberry; almond; make-ahead; whole grain
wc-kitchen.ball-realfruit-low-or-no-sugar-jam.yaml,PXL_20260523_111129429.RAW-01.COVER.jpg,Ball RealFruit Low or No-Sugar Jam (Scaling Reference Table),preserve,jam; canning; low-sugar; no-sugar; Ball RealFruit pectin; scaling table
wc-kitchen.beef-barley-soup.yaml,PXL_20260523_110719176.RAW-01.COVER.jpg,Beef Barley Soup,,
